NUM_PASAJEROS;ANIO;MES;DIA;ZONA_FNC_GROUP_2;EsEscolar;EsFestivo
267;2018;1;1;ENCOMIENDA LAGUNA -AYTO.LAG;0;1
73;2018;1;1;CONVENIOS CABILDO-AYTOS.;0;1
32392;2018;1;1;CPI-CABILDO;0;1
6999;2018;1;1;ENCOMIENDA USC-AYTO.SC;0;1
27386;2018;1;2;ENCOMIENDA USC-AYTO.SC;0;0
505;2018;1;2;CONVENIOS CABILDO-AYTOS.;0;0
81689;2018;1;2;CPI-CABILDO;0;0
2188;2018;1;2;ENCOMIENDA LAGUNA -AYTO.LAG;0;0
29167;2018;1;3;ENCOMIENDA USC-AYTO.SC;0;0
85798;2018;1;3;CPI-CABILDO;0;0
2334;2018;1;3;ENCOMIENDA LAGUNA -AYTO.LAG;0;0
491;2018;1;3;CONVENIOS CABILDO-AYTOS.;0;0
29640;2018;1;4;ENCOMIENDA USC-AYTO.SC;0;0
85321;2018;1;4;CPI-CABILDO;0;0
2486;2018;1;4;ENCOMIENDA LAGUNA -AYTO.LAG;0;0
490;2018;1;4;CONVENIOS CABILDO-AYTOS.;0;0
31454;2018;1;5;ENCOMIENDA USC-AYTO.SC;0;0
2385;2018;1;5;ENCOMIENDA LAGUNA -AYTO.LAG;0;0
515;2018;1;5;CONVENIOS CABILDO-AYTOS.;0;0
87364;2018;1;5;CPI-CABILDO;0;0
44;2018;1;6;CONVENIOS CABILDO-AYTOS.;0;1
33767;2018;1;6;CPI-CABILDO;0;1
231;2018;1;6;ENCOMIENDA LAGUNA -AYTO.LAG;0;1
5373;2018;1;6;ENCOMIENDA USC-AYTO.SC;0;1
47784;2018;1;7;CPI-CABILDO;0;0
85;2018;1;7;CONVENIOS CABILDO-AYTOS.;0;0
472;2018;1;7;ENCOMIENDA LAGUNA -AYTO.LAG;0;0
11179;2018;1;7;ENCOMIENDA USC-AYTO.SC;0;0
2304;2018;1;8;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
28878;2018;1;8;ENCOMIENDA USC-AYTO.SC;1;0
89253;2018;1;8;CPI-CABILDO;1;0
553;2018;1;8;CONVENIOS CABILDO-AYTOS.;1;0
2886;2018;1;9;ENCOMIENDA LAGUNA -AYTO.LAG;1;0
91516;2018;1;9;CPI-CABILDO;1;0
30193;2018;1;9;ENCOMIENDA USC-AYTO.SC;1;0
563;2018;1;9;CONVENIOS CABILDO-AYTOS.;1;0
92154;2018;1;10;CPI-CABILDO;1;0
